Block_type,Block_num,Name,SMILES,g/mol,CAD,Quantity,$/mol,Manual?
b,8,"(Z)-2-(2-bromovinyl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(/C=C\Br)OC(=O)C2,261.868,525,1,137480.7,
b,9,"2-(2-bromopyridin-3-yl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,312.916,34.1,1,10670.4356,
b,10,"2-(4-bromophenyl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,311.928,289,5,18029.4384,
b,11,"(E)-2-(2-bromovinyl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(/C=C/Br)OC(=O)C2,261.868,66.5,1,17414.222,
b,12,"2-(3-bromo-2-fluorophenyl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,329.918,36.5,1,12042.007,
b,13,"2-(3-iodophenyl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1)OC(=O)C2,311.928,39,1,12165.192,
b,14,"2-(5-bromobenzofuran-2-yl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1cc3cc(Br)ccc3o1)OC(=O)C2,351.949,77.7,1,27346.4373,
b,15,"2-(3-iodo-5-(trifluoromethyl)phenyl)-6-methyl-1,3,6,2-dioxazaborocane-4,8-dione",C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,426.925,136,1,58061.8,
c,1,"1,3-dibromonaphthalene",Brc1cc(Br)c2ccccc2c1,285.966,598.5,1,171150.651,
c,2,"2,5-dibromo-3-chlorothiophene",Clc1cc(Br)sc1Br,276.38,796.67,1,220183.6546,
c,3,"4,9-dibromo-6,7-dimethyl-[1,2,5]thiadiazolo[3,4-g]quinoxaline",Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,374.061,1484.28,1,555211.2611,
c,4,"2,2'-oxybis(bromobenzene)",Brc1ccccc1Oc1ccccc1Br,328.003,662.34,5,43449.9014,
c,5,"9,10-dibromo-2-(tert-butyl)anthracene",CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,392.134,67.7,0.05,530949.436,
c,6,"1,4-dibromo-2,5-difluorobenzene",Fc1cc(Br)c(F)cc1Br,271.886,120,10,3262.632,
c,7,"2,5-dibromobenzofuran",Brc1ccc2oc(Br)cc2c1,275.927,0,0,0,Yes
c,8,"2,5-dibromofuran",Brc1ccc(Br)o1,225.867,67.7,0.25,61164.7836,
c,9,"2,7-dibromo-9,9'-spirobi[fluorene]",Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,474.195,123,1,58325.985,
c,10,"1,5-dibromo-2,4-dichlorobenzene",Clc1cc(Cl)c(Br)cc1Br,304.796,2060.968,1,628174.8025,
c,11,"2,6-dibromo-1,8-naphthyridine",Brc1cnc2nc(Br)ccc2c1,287.942,835.24,1,240500.6761,
c,12,"1,8-dibromonaphthalene",Brc1cccc2cccc(Br)c12,285.966,109,1,31170.294,
c,13,"2,7-dibromo-9,9-bis(2-ethylhexyl)-9H-fluorene",CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,642.447,89.2,5,9784.29448,
c,14,"4,7-dibromo-5,6-difluorobenzo[c][1,2,5]thiadiazole",Fc1c(F)c(Br)c2nsnc2c1Br,329.951,119.7,1,39495.1347,
c,15,bis(4-bromophenyl)dimethylsilane,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,370.16,0,0,0,Yes
c,16,"2,8-dibromophenazine",Brc1ccc2nc3ccc(Br)cc3nc2c1,338.002,1230.25,1,415826.9605,
c,17,bis(2-bromophenyl)dimethylsilane,C[Si](C)(c1ccccc1Br)c1ccccc1Br,370.16,0,0,0,Yes
c,18,"2,5-dibromopyridine",Brc1ccc(Br)nc1,236.894,110,10,2605.834,
buch,1,,Brc1nccnc1,158.98,183,1,29093.34,
snar,1,,c1ccc2c(c1)[nH]c1ccccc12,167.21,36,5,1203.912,
