,Unnamed: 0,a,ab,b,c,pentamer,F,carbazole
785,2972.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,Fc1cc(-c2ccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)cc2)c(F)cc1-c1ccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)cc1,Fc1cc(-c2ccc(-c3cc(F)c(-c4ccc(-c5ccnc(F)c5)cc4)cc3F)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
786,2973.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3ccc4oc(-c5ccc(-c6ccnc(-n7c8ccccc8c8ccccc87)c6)cc5)cc4c3)cc2)ccn1,Fc1cc(-c2ccc(-c3ccc4oc(-c5ccc(-c6ccnc(F)c6)cc5)cc4c3)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
787,2974.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc(Br)o1,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccnc(-n6c7ccccc7c7ccccc76)c5)cc4)o3)cc2)ccn1,Fc1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccnc(F)c5)cc4)o3)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
788,2975.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3ccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cc3)ccc2-c2ccc(-c3ccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cc3)cc21,Fc1cc(-c2ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(-c6ccnc(F)c6)cc5)ccc3-4)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
789,2976.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,Clc1cc(Cl)c(-c2ccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)cc2)cc1-c1ccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)cc1,Fc1cc(-c2ccc(-c3cc(-c4ccc(-c5ccnc(F)c5)cc4)c(Cl)cc3Cl)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
790,2977.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3cnc4nc(-c5ccc(-c6ccnc(-n7c8ccccc8c8ccccc87)c6)cc5)ccc4c3)cc2)ccn1,Fc1cc(-c2ccc(-c3cnc4nc(-c5ccc(-c6ccnc(F)c6)cc5)ccc4c3)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
791,2978.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1cccc2cccc(Br)c12,c1cc(-c2ccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)cc2)c2c(-c3ccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cc3)cccc2c1,Fc1cc(-c2ccc(-c3cccc4cccc(-c5ccc(-c6ccnc(F)c6)cc5)c34)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
792,2979.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cc3)ccc2-c2ccc(-c3ccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)cc3)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccnc(F)c4)cc3)ccc2-c2ccc(-c3ccc(-c4ccnc(F)c4)cc3)cc21,c1ccc2c(c1)[nH]c1ccccc12
793,2980.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,Fc1c(F)c(-c2ccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)cc2)c2nsnc2c1-c1ccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)cc1,Fc1cc(-c2ccc(-c3c(F)c(F)c(-c4ccc(-c5ccnc(F)c5)cc4)c4nsnc34)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
794,2981.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[Si](C)(c1ccc(-c2ccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)cc2)cc1)c1ccc(-c2ccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)cc2)cc1,C[Si](C)(c1ccc(-c2ccc(-c3ccnc(F)c3)cc2)cc1)c1ccc(-c2ccc(-c3ccnc(F)c3)cc2)cc1,c1ccc2c(c1)[nH]c1ccccc12
