,pentamer,a,b,c,ab
1258,Clc1cc(-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)sc1-c1sccc1-c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Clc1cc(Br)sc1Br,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1259,Cc1nc2c(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3nsnc3c(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c2nc1C,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1260,c1ccc(-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(Oc2ccccc2-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1261,CC(C)(C)c1ccc2c(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3ccccc3c(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c2c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1262,Fc1cc(-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(F)cc1-c1sccc1-c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1263,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccsc2-c2ccc3oc(-c4sccc4-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc3c2)cc(-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1264,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccsc2-c2ccc(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)o2)cc(-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Brc1ccc(Br)o1,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1265,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)ccc2-c2ccc(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc21,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1266,Clc1cc(Cl)c(-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1-c1sccc1-c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1267,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccsc2-c2cnc3nc(-c4sccc4-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)ccc3c2)cc(-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1268,c1cc(-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c2c(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cccc2c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Brc1cccc2cccc(Br)c12,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1269,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)ccc2-c2ccc(-c3sccc3-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc21,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1270,Fc1c(F)c(-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c2nsnc2c1-c1sccc1-c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1271,C[Si](C)(c1ccc(-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1)c1ccc(-c2sccc2-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1272,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccsc2-c2ccc3nc4ccc(-c5sccc5-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)cc4nc3c2)cc(-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,C[N+]12CC(=O)O[B-]1(c1sccc1-c1cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c1)OC(=O)C2
1273,C[Si](C)(c1ccccc1-c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(C(F)(F)F)c1)c1ccccc1-c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(C(F)(F)F)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1274,FC(F)(F)c1cc(-c2ccc(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)nc2)cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1ccc(Br)nc1,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1275,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)cc2-n2c3ccccc3c3ccccc32)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1276,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cc(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c3ccccc3c2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1277,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cc(Cl)c(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)s2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Clc1cc(Br)sc1Br,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1278,Cc1nc2c(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c3nsnc3c(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c2nc1C,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1279,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2ccccc2Oc2ccccc2-c2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1280,CC(C)(C)c1ccc2c(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c3ccccc3c(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c2c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1281,Fc1cc(-c2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c2)c(F)cc1-c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(C(F)(F)F)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1282,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2ccc3oc(-c4cc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)cc(C(F)(F)F)c4)cc3c2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1283,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2ccc(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)o2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1ccc(Br)o1,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1284,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4cc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)cc(C(F)(F)F)c4)ccc2-3)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1285,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cc(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c(Cl)cc2Cl)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1286,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cnc3nc(-c4cc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)cc(C(F)(F)F)c4)ccc3c2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1287,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cccc3cccc(-c4cc(-c5cc(-n6c7ccccc7c7ccccc76)cc(-n6c7ccccc7c7ccccc76)c5)cc(C(F)(F)F)c4)c23)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1cccc2cccc(Br)c12,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1288,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)ccc2-c2ccc(-c3cc(-c4cc(-n5c6ccccc6c6ccccc65)cc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)cc21,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1289,Fc1c(F)c(-c2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c2)c2nsnc2c1-c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(C(F)(F)F)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1290,C[Si](C)(c1ccc(-c2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c2)cc1)c1ccc(-c2cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c2)cc1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1291,FC(F)(F)c1cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2ccc3nc4ccc(-c5cc(-c6cc(-n7c8ccccc8c8ccccc87)cc(-n7c8ccccc8c8ccccc87)c6)cc(C(F)(F)F)c5)cc4nc3c2)c1,OB(O)c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,C[N+]12CC(=O)O[B-]1(c1cc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc(C(F)(F)F)c1)OC(=O)C2
1615,C[Si](C)(c1ccccc1-c1cccnc1-c1ccc2ncccc2c1)c1ccccc1-c1cccnc1-c1ccc2ncccc2c1,OB(O)c1ccc2ncccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccc3ncccc3c1)OC(=O)C2
1616,c1cnc(-c2ccc3ncccc3c2)c(-c2ccc(-c3cccnc3-c3ccc4ncccc4c3)nc2)c1,OB(O)c1ccc2ncccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc(Br)nc1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccc3ncccc3c1)OC(=O)C2
1617,c1cnc(-c2ccc3ncccc3c2)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccnc3-c3ccc4ncccc4c3)cc2-n2c3ccccc3c3ccccc32)c1,OB(O)c1ccc2ncccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccc3ncccc3c1)OC(=O)C2
1618,c1cnc(-c2ccc3ncccc3c2)c(-c2cc(-c3cccnc3-c3ccc4ncccc4c3)c3ccccc3c2)c1,OB(O)c1ccc2ncccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccc3ncccc3c1)OC(=O)C2
1619,Clc1cc(-c2cccnc2-c2ccc3ncccc3c2)sc1-c1cccnc1-c1ccc2ncccc2c1,OB(O)c1ccc2ncccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Clc1cc(Br)sc1Br,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccc3ncccc3c1)OC(=O)C2
1620,Cc1nc2c(-c3cccnc3-c3ccc4ncccc4c3)c3nsnc3c(-c3cccnc3-c3ccc4ncccc4c3)c2nc1C,OB(O)c1ccc2ncccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccc3ncccc3c1)OC(=O)C2
1621,c1ccc(-c2cccnc2-c2ccc3ncccc3c2)c(Oc2ccccc2-c2cccnc2-c2ccc3ncccc3c2)c1,OB(O)c1ccc2ncccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccc3ncccc3c1)OC(=O)C2
