,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score
27,Fc1cc(-c2ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(-c6ccnc(F)c6)cc5)ccc3-4)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.21931800329037732,0.9120575913900714,0.29580722236471074,7.966492729079882e-05,0.002621035264354754,0.00025551478358526225,7.2174108410962825
28,Fc1cc(-c2ccc(-c3cc(-c4ccc(-c5ccnc(F)c5)cc4)c(Cl)cc3Cl)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,9,Clc1cc(Cl)c(Br)cc1Br,0.05355572628348644,0.3297053839998891,0.0005206209435370153,1.2351928432625569e-05,0.0003538693880233656,5.811425889264809e-05,8.902087371803626
29,Fc1cc(-c2ccc(-c3cnc4nc(-c5ccc(-c6ccnc(F)c6)cc5)ccc4c3)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,10,Brc1cnc2nc(Br)ccc2c1,0.034201625571294636,0.30538609693704083,0.5489261964890907,0.00011723671248576281,0.0020294265231559153,0.0002243951958468099,5.195152636225066
30,Fc1cc(-c2ccc(-c3cccc4cccc(-c5ccc(-c6ccnc(F)c6)cc5)c34)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,11,Brc1cccc2cccc(Br)c12,0.11677338475049535,0.01977364450457192,0.08588233696457655,4.8197054961177515e-05,0.0010673456710738596,0.00016447716265635963,4.3883162389124335
31,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccnc(F)c4)cc3)ccc2-c2ccc(-c3ccc(-c4ccnc(F)c4)cc3)cc21,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.13504435063185652,1.1637925383679522,0.4725379496551841,0.00010519969321625582,0.0033875284133285002,0.000280041800786903,2.6918693706044783
32,Fc1cc(-c2ccc(-c3c(F)c(F)c(-c4ccc(-c5ccnc(F)c5)cc4)c4nsnc34)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,13,Fc1c(F)c(Br)c2nsnc2c1Br,0.08991686157687402,0.2711573381119418,0.18040773386220865,0.0012882408840648612,0.673280925104697,0.0005778170235197029,4.043261978578412
33,C[Si](C)(c1ccc(-c2ccc(-c3ccnc(F)c3)cc2)cc1)c1ccc(-c2ccc(-c3ccnc(F)c3)cc2)cc1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,14,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,0.0188633395453489,1.1422881757356715,0.022121560289774467,3.4015203831382544e-05,0.0005890377767415869,9.931538748089465e-05,53.26466004873781
34,Fc1cc(-c2ccc(-c3ccc4nc5ccc(-c6ccc(-c7ccnc(F)c7)cc6)cc5nc4c3)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,15,Brc1ccc2nc3ccc(Br)cc3nc2c1,0.0046031128791888375,0.0005981201671395343,0.006556238769002761,0.04000886991592238,0.0732461165888802,0.00040712449362927756,9.94332985090378
35,C[Si](C)(c1ccccc1-c1ccc(-c2ccnc(F)c2)cc1)c1ccccc1-c1ccc(-c2ccnc(F)c2)cc1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,16,C[Si](C)(c1ccccc1Br)c1ccccc1Br,0.004269906801916915,0.02743340283703104,0.0785682339162628,4.508049336056512e-05,0.0003655462704721085,6.097497096540401e-05,379.9740047198281
36,Fc1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccnc(F)c5)cc4)nc3)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,17,Brc1ccc(Br)nc1,0.13251149158226563,1.4133576529560186,0.07240820609565918,4.60084445289068e-05,0.00107878348268175,0.000165303939415967,3.982379783515074
